acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,58433.82,,bank,Steven,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Male,2007-04-17,076-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,99157.07,,bank,Samantha,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Female,2007-05-09,334-91-1032,-77.421639,62.3400045
2,C_2,I,A,USD,false,1,0,1000000,98193.30,,bank,Robin,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Female,2016-10-05,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,false,1,0,1000000,73141.70,,bank,Steven,Leblanc,9342 Lori Bypass Suite 711,East Sandra,GU,US,11019,Male,1981-07-15,700-51-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,93303.34,,bank,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1941-01-14,017-94-4441,-117.114006,-30.820575
5,C_5,I,A,USD,false,1,0,1000000,87952.90,,bank,Bryan,Davis,6012 Brandon Ports,North Davidborough,PA,US,75992,Male,2021-06-12,119-05-9921,-168.383986,-37.764890
6,C_6,I,A,USD,false,1,0,1000000,97448.25,,bank,Catherine,Gordon,086 Mary Cliff,North Deborah,MI,US,57657,Female,1913-04-27,611-13-6411,-72.971675,-20.171012
7,C_7,I,A,USD,false,1,0,1000000,93885.64,,bank,Shelly,Lowery,230 Megan Junctions Suite 197,North Thomas,MT,US,75095,Female,1996-04-12,366-50-4112,-97.637148,60.484975
8,C_8,I,A,USD,false,1,0,1000000,78682.38,,bank,James,Perry,150 Taylor Track Suite 594,Brittanyberg,VT,US,41172,Male,1996-07-16,083-01-9742,-76.754602,-0.234729
9,C_9,I,A,USD,false,1,0,1000000,97514.16,,bank,Amy,Miles,769 Johnson Well,Bartonton,GA,US,58874,Female,1968-09-16,541-63-9199,144.257890,-89.9814355
10,C_10,I,A,USD,false,1,0,1000000,94329.20,,bank,Paul,Baird,4706 Amy Roads Apt. 206,Stewartborough,AL,US,94522,Male,1999-12-07,542-79-1603,-77.747603,-58.081979
11,C_11,I,A,USD,false,1,0,1000000,99166.44,,bank,Casey,Meyer,4217 Burton Brooks,Robinville,MP,US,34119,Male,1996-07-13,661-45-1886,-97.085583,-15.2649345
